course_code,meeting_section,offering,day,start,end,location,current,max,is_waitlisted,delivery_mode,instructor,notes
ACMB10H3F,LEC01,Fall 2025,WE,10:00,12:00,Available onACORN,27,60,True,IN_PERSON,"deChamplain-Leverenz,D.",
ACMC01H3F,LEC01,Fall 2025,,,,Available on ACORN,0,20,True,IN_PERSON,"Klimek, C.",
ACMD01H3F,LEC01,Fall 2025,,,,Available on ACORN,2,20,True,IN_PERSON,"Klimek, C.",
ACMD02H3F,LEC01,Fall 2025,,,,Available on ACORN,0,20,True,IN_PERSON,"Klimek, C.",
ACMD91H3F,LEC01,Fall 2025,,,,Available on ACORN,1,9999,True,IN_PERSON,,
ACMD92H3F,LEC01,Fall 2025,,,,Available on ACORN,0,9999,True,IN_PERSON,,
ACMD93Y3Y,LEC01,Fall 2025,,,,Available on ACORN,0,9999,True,IN_PERSON,,
ACTB40H3F,LEC01,Fall 2025,TH,18:00,21:00,Available on ACORN,104,135,True,IN_PERSON,"Gao, J.",
ACTB40H3F,TUT0001,Fall 2025,FR,14:00,15:00,Available on ACORN,28,34,False,IN_PERSON,,
ACTB40H3F,TUT0002,Fall 2025,MO,10:00,11:00,Available on ACORN,30,34,False,IN_PERSON,,
ACTB40H3F,TUT0003,Fall 2025,TU,09:00,10:00,Available on ACORN,18,34,False,IN_PERSON,,
ACTB40H3F,TUT0004,Fall 2025,TH,17:00,18:00,Available on ACORN,27,34,False,IN_PERSON,,
AFSA01H3F,LEC01,Fall 2025,WE,11:00,13:00,Available on ACORN,49,60,True,IN_PERSON,"Ilmi, A.",
AFSA01H3F,TUT0001,Fall 2025,WE,09:00,10:00,Available on ACORN,8,10,False,IN_PERSON,,
AFSA01H3F,TUT0002,Fall 2025,WE,10:00,11:00,Available on ACORN,11,10,False,IN_PERSON,,
AFSA01H3F,TUT0003,Fall 2025,WE,13:00,14:00,Available on ACORN,7,10,False,IN_PERSON,,
AFSA01H3F,TUT0004,Fall 2025,WE,19:00,20:00,Available on ACORN,11,17,False,IN_PERSON,,
AFSA01H3F,TUT0006,Fall 2025,WE,15:00,16:00,Available on ACORN,10,10,False,IN_PERSON,,
AFSB51H3F,LEC01,Fall 2025,TU,11:00,13:00,Available on ACORN,9,20,True,IN_PERSON,"Rockel, S.",
AFSB51H3F,TUT0001,Fall 2025,TU,15:00,16:00,Available on ACORN,8,10,False,IN_PERSON,,
AFSD07H3F,LEC01,Fall 2025,MO,11:00,13:00,Available on ACORN,4,10,True,IN_PERSON,"Ilmi, A.",
AFSD20H3F,LEC01,Fall 2025,WE,13:00,15:00,Available on ACORN,5,10,True,IN_PERSON,"Mariyathas, S.",
ANTA01H3F,LEC01,Fall 2025,MO,15:00,17:00,Available on ACORN,223,241,True,IN_PERSON,"Silcox, M.",
ANTA01H3F,LEC02,Fall 2025,TH,11:00,13:00,Available on ACORN,220,241,True,IN_PERSON,"Silcox, M.",
ANTA01H3F,TUT0001,Fall 2025,TH,09:00,10:00,Available on ACORN,28,31,False,IN_PERSON,,
