course_code,meeting_section,offering,day,start,end,location,current,max,is_waitlisted,delivery_mode,instructor,notes
ACMC01H3Y,LEC01,Summer 2025,,,,Available on ACORN,2,20,True,IN_PERSON,"Klimek, C./ Sicondolfo, C.",
ACMD01H3Y,LEC01,Summer 2025,,,,Available on ACORN,1,20,True,IN_PERSON,"Klimek, C./ Sicondolfo, C.",
ACMD02H3Y,LEC01,Summer 2025,,,,Available on ACORN,0,20,True,IN_PERSON,,
ACMD98H3F,LEC01,Summer 2025,MO,14:00,17:00,Available on ACORN,12,20,True,IN_PERSON,"MacGregor, G.",
ACMD98H3F,LEC01,Summer 2025,TH,14:00,17:00,Available on ACORN,12,20,True,IN_PERSON,"MacGregor, G.",
AFSC52H3F,LEC01,Summer 2025,TU,10:00,12:00,Available on ACORN,3,17,True,IN_PERSON,"Gervers, M.",
AFSC52H3F,LEC01,Summer 2025,FR,10:00,12:00,Available on ACORN,3,17,True,IN_PERSON,"Gervers, M.",
ANTA01H3F,LEC01,Summer 2025,MO,10:00,12:00,Available onACORN,80,120,True,IN_PERSON,"Smeltzer,E.",Room change(30/04/24)
ANTA01H3F,LEC01,Summer 2025,WE,10:00,12:00,Available onACORN,80,120,True,IN_PERSON,"Smeltzer,E.",Room change(30/04/24)
ANTA01H3F,TUT0001,Summer 2025,FR,11:00,12:00,Available onACORN,28,30,False,IN_PERSON,,
ANTA01H3F,TUT0002,Summer 2025,FR,12:00,13:00,Available onACORN,26,30,False,IN_PERSON,,
ANTA01H3F,TUT0003,Summer 2025,FR,13:00,14:00,Available onACORN,16,30,False,IN_PERSON,,
ANTA01H3F,TUT0004,Summer 2025,FR,14:00,15:00,Available onACORN,8,30,False,IN_PERSON,,
ANTA02H3Y,LEC01,Summer 2025,TU,10:00,12:00,Available on ACORN,114,165,True,ONLINE_SYNCHRONOUS,"Van Dyk, J.",
ANTA02H3Y,TUT0001,Summer 2025,TH,11:00,12:00,Available on ACORN,27,33,False,ONLINE_SYNCHRONOUS,,
ANTA02H3Y,TUT0002,Summer 2025,TH,12:00,13:00,Available on ACORN,24,33,False,ONLINE_SYNCHRONOUS,,
ANTA02H3Y,TUT0003,Summer 2025,WE,14:00,15:00,Available on ACORN,27,33,False,ONLINE_SYNCHRONOUS,,
ANTA02H3Y,TUT0004,Summer 2025,WE,15:00,16:00,Available on ACORN,26,33,False,ONLINE_SYNCHRONOUS,,
ANTA02H3Y,TUT0005,Summer 2025,WE,16:00,17:00,Available on ACORN,9,33,False,ONLINE_SYNCHRONOUS,,
ANTB09H3Y,LEC01,Summer 2025,WE,12:00,14:00,Available on ACORN,69,80,True,ONLINE_SYNCHRONOUS,"Nixon, K.",
ANTB14H3Y,LEC01,Summer 2025,MO,13:00,15:00,Available on ACORN,29,50,True,ONLINE_SYNCHRONOUS,"Smeltzer, E.",
ANTB14H3Y,TUT0001,Summer 2025,MO,15:00,16:00,Available on ACORN,17,25,False,ONLINE_SYNCHRONOUS,,
ANTB14H3Y,TUT0002,Summer 2025,MO,16:00,17:00,Available on ACORN,11,25,False,ONLINE_SYNCHRONOUS,,
ANTC04H3Y,LEC01,Summer 2025,,,,Available on ACORN,1,9999,True,IN_PERSON,,
ANTC04H3Y,LEC01,Summer 2025,,,,Available on ACORN,0,9999,True,IN_PERSON,,
ANTC18H3S,LEC01,Summer 2025,WE,15:00,17:00,Available onACORN,53,60,True,,"El Helou,M.",Day/Time Change(30/04/24)
ANTC18H3S,LEC01,Summer 2025,FR,13:00,15:00,Available onACORN,53,60,True,,"El Helou,M.",Day/Time Change(30/04/24)
ANTC24H3F,LEC01,Summer 2025,TU,13:00,15:00,Available on ACORN,77,80,True,ONLINE_SYNCHRONOUS,"Kilroy-Marac, K.",
ANTC24H3F,LEC01,Summer 2025,TH,13:00,15:00,Available on ACORN,77,80,True,ONLINE_SYNCHRONOUS,"Kilroy-Marac, K.",
ANTD32H3Y,LEC01,Summer 2025,,,,Available on ACORN,0,9999,True,IN_PERSON,,
ANTD32H3Y,LEC01,Summer 2025,,,,Available on ACORN,0,9999,True,IN_PERSON,,
ANTD70H3F,LEC01,Summer 2025,TU,10:00,16:00,Available on ACORN,10,15,True,IN_PERSON,"Janz, L.",
ANTD70H3F,LEC01,Summer 2025,TH,10:00,16:00,Available on ACORN,10,15,True,IN_PERSON,"Janz, L.",
BIOA01H3Y,LEC01,Summer 2025,TU,12:00,15:00,Available on ACORN,91,120,True,IN_PERSON,"Williams, K.",
BIOA01H3Y,PRA0001,Summer 2025,TU,09:00,12:00,Available on ACORN,19,24,False,IN_PERSON,,
BIOA01H3Y,PRA0002,Summer 2025,TU,09:00,12:00,Available on ACORN,20,24,False,IN_PERSON,,
BIOA01H3Y,PRA0003,Summer 2025,TU,15:00,18:00,Available on ACORN,19,24,False,IN_PERSON,,
BIOA01H3Y,PRA0004,Summer 2025,TU,15:00,18:00,Available on ACORN,18,24,False,IN_PERSON,,
BIOA01H3Y,PRA0005,Summer 2025,WE,10:00,13:00,Available on ACORN,15,24,False,IN_PERSON,,
BIOA02H3Y,LEC01,Summer 2025,TH,12:00,15:00,Available on ACORN,72,96,True,IN_PERSON,"Chang, T.",
BIOA02H3Y,PRA0001,Summer 2025,TH,09:00,12:00,Available on ACORN,18,24,False,IN_PERSON,,
BIOA02H3Y,PRA0002,Summer 2025,TH,09:00,12:00,Available on ACORN,18,24,False,IN_PERSON,,
BIOA02H3Y,PRA0003,Summer 2025,TH,15:00,18:00,Available on ACORN,20,24,False,IN_PERSON,,
