code,breadth_requirement,course_experience,description,recommended_preperation,prerequisite_description,exclusion_description,name,corequisite_description,note
IDSD02H3,SOCIAL_SCI,,An advanced seminar in critical development studies with an emphasis on perspectives and theories from the global South. The main purpose of the course is to help prepare students theoretically and methodologically for the writing of a major research paper based on secondary data collection. The theoretical focus on the course will depend on the interests of the faculty member teaching it.,,14.0 credits including IDSC04H3,,Advanced Research Seminar in Critical Development Studies,,"Restricted to students in the Specialist (non Co-op) Programs in IDS. If space is available, students from the Major Program in IDS may gain admission with the permission of the instructor."
IDSD05H3,SOCIAL_SCI,,"This seminar course examines the history of global/international health and invites students to contemplate the ongoing resonance of past ideologies, institutions, and practices of the field for the global health and development arena in the present. Through exploration of historical documents (primary sources, images, and films) and scholarly works, the course will cover themes including: the role of health in empire-building and capitalist expansion via invasion/occupation, missionary work, enslavement, migration, trade, and labor/resource extraction; perennial fears around epidemics/pandemics and their economic and social consequences; the ways in which international/global health has interacted with and reflected overt and embedded patterns of oppression and discrimination relating to race, Indigeneity, gender, and social class; and colonial and post- colonial health governance, research, and institution-building.",,"[12.0 credits, including IDSB04H3] or permission of the instructor",,Historical Perspectives on Global Health and Development,,
IDSD06H3,HIS_PHIL_CUL,,This interdisciplinary course traces the advance of feminist and postcolonial thinking in development studies. The course serves as a capstone experience for IDS students and social science majors looking to fully engage with feminist and postcolonial theories of development. This course combines short lectures with student led-discussions and critical analyses of development thought and practice.,IDSB06H3,12.0 credits,,Feminist and Postcolonial Perspectives in Development Studies,,
IDSD07H3,HIS_PHIL_CUL,,"This course examines resource extraction in African history. We examine global trade networks in precolonial Africa, and the transformations brought by colonial extractive economies. Case studies, from diamonds to uranium, demonstrate how the resource curse has affected states and economies, especially in the postcolonial period. Same as AFSD07H3",,[10.0 credits including [AFSA01H3 or IDSA01H3 or POLB90H3]] or permission of instructor,AFSD07H3,Extractive Industries in Africa,,
IDSD08H3,SOCIAL_SCI,Partnership-Based Experience,"This course explores the intersection of community-centered research, art, media, politics, activism and how they intertwine with grass-root social change strategies. Students will learn about the multiple forms of media tactics, including alternative and tactical media (fusion of art, media, and activism) that are being used by individuals and grass-root organizations to promote public debate and advocate for changes in development-related public policies. Through case studies, hands-on workshops, community-led learning events, and a capstone project in collaboration with community organizations, students will gain practical research, media and advocacy skills in formulating and implementing strategies for mobilizing public support for social change.",,IDSA01H3 and [1.0 credit in C-level IDS courses] and [0.5 credit in D-level IDS courses],"IDSD10H3 (if taken in the Winter 2018, 2019, 2020 or 2021 sessions)",Community-Centered Media Tactics for Development Advocacy and Social Change,,
IDSD10H3,,,The topics presented in this course will represent a range of issues in international development studies. Topics will vary by instructor and term.,,"12.0 credits, including IDSA01H3",,Topics in International Development Studies,,
IDSD12H3,,,The topics presented in this course will represent a range of issues in international development studies. Topics will vary by instructor and term.,,"12.0 credits, including IDSA01H3",,Topics in International Development Studies,,
IDSD13H3,,,The topics presented in this course will represent a range of issues in international development studies. Topics will vary by instructor and term.,,"12.0 credits, including IDSA01H3",,Topics in International Development Studies,,
IDSD14H3,,,"The goal of the course is for students to examine in a more extensive fashion the academic literature on a particular topic in International Development Studies not covered by existing course offering. Courses will normally only be available to students in their final year of study at UTSC. It is the student's responsibility to find a faculty member who is willing to supervise the course, and the students must obtain consent from the supervising instructor and from the Chair/Associate Chair of the Department of Global Development Studies before registering for this course.",,"12.0 credits, including IDSA01H3 and permission of the instructor",,Directed Reading,,
IDSD15H3,,University-Based Experience,"The goal of the course is for students to prepare and write a senior undergraduate research paper in International Development Studies. For upper-level students whose interests are not covered in one of the other courses normally offered. Courses will normally only be available to students in their final year of study at UTSC. It is the student's responsibility to find a faculty member who is willing to supervise the course, and the students must obtain consent from the supervising instructor and from the Chair/Associate Chair of the Department of Global Development Studies before registering for this course.",,12.0 credits including IDSA01H3 and permission of the instructor,,Directed Research,,
IDSD16H3,SOCIAL_SCI,University-Based Experience,"This course analyzes racial capitalism among persons of African descent in the Global South and Global North with a focus on diaspora communities. Students learn about models for self-determination, solidarity economies and cooperativism as well as Black political economy theory. Same as AFSD16H3",,[10.0 credits including [AFSA01H3 or IDSA01H3 or POLB90H3]] or permission of instructor,AFSD16H3,Africana Political Economy in Comparative Perspective,,
