code,meeting_section,offering,day,start,end,location,current,max,is_waitlisted,delivery_mode,instructor,notes
ACMB10H3S,LEC01,Winter 2026,FR,10:00,12:00,Available onACORN,58,60,True,IN_PERSON,"Aguilera-Moradipour,M.",
ACMB10H3S,LEC01,Winter 2026,FR,10:00,12:00,Available onACORN,58,60,True,IN_PERSON,"Aguilera-Moradipour,M.",
ACMC01H3S,LEC01,Winter 2026,,,,Available on ACORN,0,20,True,IN_PERSON,"Sicondolfo, C.",
ACMC01H3S,LEC01,Winter 2026,,,,Available on ACORN,0,20,True,IN_PERSON,"Sicondolfo, C.",
ACMD01H3S,LEC01,Winter 2026,,,,Available on ACORN,4,20,True,IN_PERSON,"Sicondolfo, C.",
ACMD01H3S,LEC01,Winter 2026,,,,Available on ACORN,4,20,True,IN_PERSON,"Sicondolfo, C.",
ACMD02H3S,LEC01,Winter 2026,,,,Available on ACORN,0,20,True,IN_PERSON,"Sicondolfo, C.",
ACMD02H3S,LEC01,Winter 2026,,,,Available on ACORN,0,20,True,IN_PERSON,"Sicondolfo, C.",
ACMD91H3S,LEC01,Winter 2026,,,,Available on ACORN,1,9999,True,IN_PERSON,FACULTY,
ACMD91H3S,LEC01,Winter 2026,,,,Available on ACORN,1,9999,True,IN_PERSON,FACULTY,
ACMD92H3S,LEC01,Winter 2026,,,,Available on ACORN,0,9999,True,IN_PERSON,FACULTY,
ACMD92H3S,LEC01,Winter 2026,,,,Available on ACORN,0,9999,True,IN_PERSON,FACULTY,
AFSA03H3S,LEC01,Winter 2026,TU,11:00,13:00,Available on ACORN,19,20,True,IN_PERSON,"Von Lieres, B.",
AFSB01H3S,LEC01,Winter 2026,TU,11:00,13:00,Available on ACORN,6,20,True,IN_PERSON,"Callebert, R.",
AFSB01H3S,TUT0001,Winter 2026,TU,17:00,18:00,Available on ACORN,6,10,False,IN_PERSON,,
AFSC03H3S,LEC01,Winter 2026,TU,15:00,17:00,Available on ACORN,3,15,True,IN_PERSON,"Ilmi, A.",
AFSC55H3S,LEC01,Winter 2026,TU,13:00,15:00,Available on ACORN,8,25,True,IN_PERSON,"Rockel, S.",
AFSD07H3S,LEC01,Winter 2026,WE,11:00,13:00,Available on ACORN,5,10,True,IN_PERSON,"Ilmi, A.",
ANTA01H3S,LEC01,Winter 2026,MO,15:00,17:00,Available on ACORN,203,230,True,IN_PERSON,"Nargolwalla, M.",
ANTA01H3S,TUT0001,Winter 2026,FR,10:00,11:00,Available on ACORN,21,25,False,IN_PERSON,,
ANTA01H3S,TUT0002,Winter 2026,FR,11:00,12:00,Available on ACORN,23,25,False,IN_PERSON,,
ANTA01H3S,TUT0003,Winter 2026,FR,12:00,13:00,Available on ACORN,21,25,False,IN_PERSON,,
ANTA01H3S,TUT0004,Winter 2026,FR,13:00,14:00,Available on ACORN,23,25,False,IN_PERSON,,
ANTA01H3S,TUT0005,Winter 2026,FR,10:00,11:00,Available on ACORN,22,25,False,IN_PERSON,,
ANTA01H3S,TUT0006,Winter 2026,FR,11:00,12:00,Available on ACORN,23,25,False,IN_PERSON,,
ANTA01H3S,TUT0007,Winter 2026,FR,12:00,13:00,Available on ACORN,22,25,False,IN_PERSON,,
ANTA01H3S,TUT0008,Winter 2026,FR,13:00,14:00,Available on ACORN,23,25,False,IN_PERSON,,
ANTA01H3S,TUT0009,Winter 2026,FR,14:00,15:00,Available on ACORN,23,25,False,IN_PERSON,,
ANTA02H3S,LEC01,Winter 2026,MO,12:00,14:00,Available onACORN,195,230,True,IN_PERSON,"Cummings,M.",
ANTA02H3S,LEC02,Winter 2026,TU,11:00,13:00,Available onACORN,195,230,True,IN_PERSON,"Cummings,M.",
ANTA02H3S,TUT0001,Winter 2026,FR,09:00,10:00,Available onACORN,27,30,False,IN_PERSON,,
ANTA02H3S,TUT0002,Winter 2026,FR,10:00,11:00,Available onACORN,30,30,False,IN_PERSON,,
