prerequisite_code,course_code
VPAB16H3,ACMC01H3
VPAB17H3,ACMC01H3
ACMC01H3,ACMD01H3
ACMD01H3,ACMD02H3
MATA30H3,ACTB40H3
MATA31H3,ACTB40H3
MATA34H3,ACTB40H3
AFSA01H3,AFSB05H3
ANTA02H3,AFSB05H3
AFSA01H3,AFSB50H3
AFSA01H3,AFSB54H3
AFSB51H3,AFSB54H3
IDSA01H3,AFSC03H3
AFSA01H3,AFSC03H3
AFSA01H3,AFSC19H3
IDSA01H3,AFSC19H3
POLB90H3,AFSC19H3
VPHA46H3,AFSC52H3
AFSA03H3,AFSC53H3
IDSA02H3,AFSC53H3
IDSB01H3,AFSC53H3
IDSB02H3,AFSC53H3
WSTA01H3,AFSC53H3
WSTA03H3,AFSC53H3
AFSB50H3,AFSC55H3
HISB50H3,AFSC55H3
AFSB51H3,AFSC55H3
HISB51H3,AFSC55H3
HISC50H3,AFSC55H3
HISC51H3,AFSC55H3
AFSA01H3,AFSC97H3
HISA08H3,AFSC97H3
AFSB50H3,AFSC97H3
HISB50H3,AFSC97H3
AFSB51H3,AFSC97H3
HISB51H3,AFSC97H3
AFSA01H3,AFSD07H3
IDSA01H3,AFSD07H3
POLB90H3,AFSD07H3
AFSA01H3,AFSD16H3
IDSA01H3,AFSD16H3
POLB90H3,AFSD16H3
IDSA01H3,AFSD20H3
AFSA01H3,AFSD20H3
POLC09H3,AFSD20H3
AFSB51H3,AFSD51H3
HISB51H3,AFSD51H3
HISD50H3,AFSD51H3
AFSB50H3,AFSD52H3
HISB50H3,AFSD52H3
AFSB51H3,AFSD52H3
HISB51H3,AFSD52H3
HISC55H3,AFSD52H3
ANTA02H3,ANTB01H3
ANTA02H3,ANTB02H3
ANTA02H3,ANTB05H3
AFSA01H3,ANTB05H3
ANTA02H3,ANTB09H3
ANTA02H3,ANTB12H3
ANTA01H3,ANTB14H3
ANTA01H3,ANTB15H3
HLTA02H3,ANTB15H3
HLTA03H3,ANTB15H3
ANTA02H3,ANTB16H3
ANTA02H3,ANTB18H3
ANTA02H3,ANTB19H3
ANTA02H3,ANTB20H3
ANTA02H3,ANTB26H3
ANTA02H3,ANTB33H3
ANTA02H3,ANTB35H3
MDSA01H3,ANTB35H3
ANTA02H3,ANTB36H3
ANTA02H3,ANTB42H3
ANTA02H3,ANTB64H3
ANTA02H3,ANTB65H3
ANTA02H3,ANTB66H3
ANTA01H3,ANTB80H3
ANTA01H3,ANTC03H3
ANTA02H3,ANTC03H3
ANTA01H3,ANTC04H3
ANTA02H3,ANTC04H3
ANTB19H3,ANTC07H3
ANTB20H3,ANTC07H3
ANTA02H3,ANTC09H3
ANTB19H3,ANTC09H3
ANTB20H3,ANTC09H3
ANTB19H3,ANTC10H3
ANTB20H3,ANTC10H3
ANTB19H3,ANTC14H3
ANTB20H3,ANTC14H3
ANTB19H3,ANTC15H3
ANTB20H3,ANTC15H3
ANTA01H3,ANTC16H3
ANTB14H3,ANTC16H3
ANTC17H3,ANTC16H3
ANTA01H3,ANTC17H3
ANTA02H3,ANTC17H3
ANTB19H3,ANTC18H3
ANTB20H3,ANTC18H3
ANTB19H3,ANTC19H3
ANTB20H3,ANTC19H3
ANTB19H3,ANTC20H3
ANTB20H3,ANTC20H3
ANTB19H3,ANTC22H3
ANTB20H3,ANTC22H3
ANTB19H3,ANTC24H3
ANTB20H3,ANTC24H3
HLTB42H3,ANTC24H3
ANTB19H3,ANTC25H3
ANTB20H3,ANTC25H3
ANTB22H3,ANTC27H3
